# Wavelength/AA, Flux/AA
5.354652234515201599e+03,9.972382310712053499e-01
5.354702238870982001e+03,9.973555125112871789e-01
5.354752243226761493e+03,9.977205963777018294e-01
5.354802247582541895e+03,9.983698925746573583e-01
5.354852251938322297e+03,9.988744022583309068e-01
5.354902256294102699e+03,9.991380757703784976e-01
5.354952260649882192e+03,9.992024442507732029e-01
5.355002265005662593e+03,9.993330841755486693e-01
5.355052269361442995e+03,9.993240842696671233e-01
5.355102273717222488e+03,9.996187374558347383e-01
5.355152278073002890e+03,9.998407134669100582e-01
5.355202282428783292e+03,9.998755662794435173e-01
5.355252286784562784e+03,9.995119379197625609e-01
5.355302291140343186e+03,9.993085457106140046e-01
5.355352295496123588e+03,9.988598904326200234e-01
5.355402299851903081e+03,9.986806705195770961e-01
5.355452304207683483e+03,9.984172921082098418e-01
5.355502308563463885e+03,9.978534304423583023e-01
5.355552312919244287e+03,9.963588298291778944e-01
5.355602317275023779e+03,9.938321324701189230e-01
5.355652321630804181e+03,9.914500069900755719e-01
5.355852339053924879e+03,9.903035498446255414e-01
5.356302378255945769e+03,9.938684356345723891e-01
5.356352382611726171e+03,9.981381485564372325e-01
5.356402386967505663e+03,9.994663166423150003e-01
5.356452391323286065e+03,9.997212594461140078e-01
5.356502395679066467e+03,9.995993489686021416e-01
5.356552400034845959e+03,9.996203522101874128e-01
5.356602404390626361e+03,9.996765595405493476e-01
5.356652408746406763e+03,9.997731646570636732e-01
5.356702413102186256e+03,9.994210932870224440e-01
5.356752417457966658e+03,9.979099821394938896e-01
5.356802421813747060e+03,9.943405878702111789e-01
5.357502482794668140e+03,9.910506587028244940e-01
5.357552487150448542e+03,9.959255724454916248e-01
5.357602491506228944e+03,9.980020166547618476e-01
5.357652495862008436e+03,9.983314481453154920e-01
5.357702500217788838e+03,9.981582496312519925e-01
5.357752504573569240e+03,9.979513348698512143e-01
5.357802508929349642e+03,9.974006736235545567e-01
5.357852513285129135e+03,9.947656950008402221e-01
5.358352556842930426e+03,9.950034413077185613e-01
